frame,time,delta,score,mode,state
0,0.000000,0.118661,29,Steady,Playing
1,0.047229,0.047229,29,Steady,Playing
2,0.089888,0.042659,29,Steady,Playing
3,0.131566,0.041678,29,Steady,Playing
4,0.173532,0.041966,29,Steady,Playing
5,0.215351,0.041820,29,Steady,Playing
6,0.255492,0.040141,29,Steady,Playing
7,0.296975,0.041483,29,Steady,Playing
8,0.337767,0.040792,29,Steady,Playing
9,0.378284,0.040517,29,Steady,Playing
10,0.421185,0.042901,29,Steady,Playing
11,0.462210,0.041024,29,Steady,Playing
12,0.503581,0.041371,29,Steady,Playing
13,0.544948,0.041368,29,Steady,Playing
14,0.585640,0.040692,29,Steady,Playing
15,0.626331,0.040691,29,Steady,Playing
16,0.669573,0.043242,29,Steady,Playing
17,0.710569,0.040995,29,Steady,Playing
18,0.752585,0.042016,30,Steady,Transition
19,0.896795,0.144210,30,Steady,Transition
20,0.940178,0.043383,30,Steady,Transition
21,0.981092,0.040914,30,Steady,Transition
22,1.021647,0.040555,30,Steady,Playing
23,1.061779,0.040133,30,Steady,Playing
24,1.102508,0.040729,30,Steady,Playing
25,1.142806,0.040298,30,Steady,Playing
26,1.186070,0.043264,30,Steady,Playing
27,1.226417,0.040347,30,Steady,Playing
28,1.269477,0.043060,30,Steady,Playing
29,1.309760,0.040282,30,Steady,Playing
30,1.352937,0.043178,30,Steady,Playing
31,1.393192,0.040255,30,Steady,Playing
32,1.435564,0.042372,30,Steady,Playing
33,1.475677,0.040113,30,Steady,Playing
34,1.518869,0.043191,30,Steady,Playing
35,1.559312,0.040443,30,Steady,Playing
36,1.605673,0.046361,30,Steady,Playing
37,1.646282,0.040609,30,Steady,Playing
38,1.688095,0.041814,30,Steady,Playing
39,1.729307,0.041212,30,Steady,Playing
40,1.772287,0.042980,30,Steady,Playing
41,1.815589,0.043302,30,Steady,Playing
42,1.856147,0.040558,31,Steady,Transition
43,1.902479,0.046332,31,Steady,Transition
44,1.944209,0.041730,31,Steady,Transition
45,1.989091,0.044882,31,Steady,Transition
46,2.030083,0.040992,31,Steady,Transition
47,2.069818,0.039735,31,Steady,Transition
48,2.110520,0.040702,31,Steady,Playing
49,2.153411,0.042891,31,Steady,Playing
50,2.194664,0.041253,31,Steady,Playing
51,2.240117,0.045453,31,Steady,Playing
52,2.280999,0.040882,31,Steady,Playing
53,2.322917,0.041918,31,Steady,Playing
54,2.364949,0.042032,31,Steady,Playing
55,2.411065,0.046117,31,Steady,Playing
56,2.457133,0.046068,31,Steady,Playing
57,2.498498,0.041366,31,Steady,Playing
58,2.542588,0.044089,31,Steady,Playing
59,2.587153,0.044566,31,Steady,Playing
60,2.628180,0.041027,31,Steady,Playing
61,2.670592,0.042412,31,Steady,Playing
62,2.712529,0.041937,31,Steady,Playing
63,2.753688,0.041159,31,Steady,Playing
64,2.793966,0.040277,31,Steady,Playing
65,2.837651,0.043686,31,Steady,Playing
66,2.879247,0.041596,31,Steady,Playing
67,2.921620,0.042373,32,Steady,Transition
68,2.965107,0.043487,32,Steady,Transition
69,3.005469,0.040362,32,Steady,Transition
70,3.045364,0.039895,32,Steady,Transition
71,3.085667,0.040303,32,Steady,Transition
72,3.126639,0.040972,32,Steady,Transition
73,3.169386,0.042747,32,Steady,Playing
74,3.210394,0.041008,32,Steady,Playing
75,3.253098,0.042703,32,Steady,Playing
76,3.295933,0.042836,32,Steady,Playing
77,3.336807,0.040874,32,Steady,Playing
78,3.377574,0.040768,32,Steady,Playing
79,3.421131,0.043557,32,Steady,Playing
80,3.463373,0.042241,32,Steady,Playing
81,3.503898,0.040525,32,Steady,Playing
82,3.544264,0.040365,32,Steady,Playing
83,3.586278,0.042014,32,Steady,Playing
84,3.627376,0.041098,32,Steady,Playing
85,3.669685,0.042309,32,Steady,Playing
86,3.710474,0.040789,32,Steady,Playing
87,3.752678,0.042204,32,Steady,Playing
88,3.793284,0.040606,32,Steady,Playing
89,3.836364,0.043080,32,Steady,Playing
90,3.876249,0.039886,32,Steady,Playing
91,3.919982,0.043733,32,Steady,Playing
92,3.960516,0.040534,33,Steady,Transition
93,4.002958,0.042443,33,Steady,Transition
94,4.044686,0.041728,33,Steady,Transition
95,4.087316,0.042629,33,Steady,Transition
96,4.127150,0.039834,33,Steady,Transition
97,4.169979,0.042830,33,Steady,Transition
98,4.209944,0.039965,33,Steady,Playing
99,4.252161,0.042217,33,Steady,Playing
100,4.291862,0.039700,33,Steady,Playing
101,4.335012,0.043150,33,Steady,Playing
102,4.375285,0.040273,33,Steady,Playing
103,4.418881,0.043596,33,Steady,Playing
104,4.458620,0.039739,33,Steady,Playing
105,4.498368,0.039748,33,Steady,Playing
106,4.537613,0.039245,33,Steady,Playing
107,4.577168,0.039555,33,Steady,Playing
108,4.619974,0.042807,33,Steady,Playing
109,4.660650,0.040676,33,Steady,Playing
110,4.702734,0.042084,33,Steady,Playing
111,4.742548,0.039815,33,Steady,Playing
112,4.788818,0.046270,33,Steady,Playing
113,4.832219,0.043401,33,Steady,Playing
114,4.874409,0.042190,33,Steady,Playing
115,4.915728,0.041320,33,Steady,Playing
116,4.956575,0.040848,33,Steady,Playing
117,4.996551,0.039975,33,Steady,Playing
118,5.036436,0.039886,34,Drifting,Transition
119,5.080048,0.043611,34,Drifting,Transition
120,5.122552,0.042504,34,Drifting,Transition
121,5.163021,0.040469,34,Drifting,Transition
122,5.205487,0.042467,34,Drifting,Transition
123,5.246418,0.040931,34,Drifting,Transition
124,5.288368,0.041950,34,Drifting,Transition
125,5.329670,0.041303,34,Drifting,Transition
126,5.371049,0.041379,34,Drifting,Transition
127,5.412554,0.041504,34,Drifting,Transition
128,5.454566,0.042012,34,Drifting,Transition
129,5.493895,0.039330,34,Drifting,Playing
130,5.639393,0.145498,34,Drifting,Playing
131,5.681579,0.042186,34,Drifting,Playing
132,5.724193,0.042614,34,Drifting,Playing
133,5.765114,0.040921,34,Drifting,Playing
134,5.806555,0.041441,34,Drifting,Playing
135,5.847279,0.040723,34,Drifting,Playing
136,5.889402,0.042124,34,Drifting,Playing
137,5.930670,0.041268,34,Drifting,Playing
138,5.972333,0.041663,34,Drifting,Playing
139,6.011563,0.039230,34,Drifting,Playing
140,6.051449,0.039886,34,Drifting,Playing
141,6.091448,0.039999,34,Drifting,Playing
142,6.132322,0.040874,34,Drifting,Playing
143,6.172442,0.040120,34,Drifting,Playing
144,6.212976,0.040533,34,Drifting,Playing
145,6.253672,0.040696,34,Drifting,Playing
146,6.296401,0.042729,35,Drifting,Transition
147,6.339454,0.043053,35,Drifting,Transition
148,6.381489,0.042035,35,Drifting,Transition
149,6.423787,0.042298,35,Drifting,Transition
150,6.465601,0.041815,35,Drifting,Transition
151,6.506360,0.040758,35,Drifting,Transition
152,6.546884,0.040525,35,Drifting,Transition
153,6.587718,0.040833,35,Drifting,Transition
154,6.628882,0.041165,35,Drifting,Transition
155,6.673045,0.044163,35,Drifting,Transition
156,6.714929,0.041884,35,Drifting,Transition
157,6.755983,0.041055,35,Drifting,Playing
158,6.797101,0.041118,35,Drifting,Playing
159,6.838354,0.041252,35,Drifting,Playing
160,6.879916,0.041562,35,Drifting,Playing
161,6.920857,0.040941,35,Drifting,Playing
162,6.961921,0.041064,35,Drifting,Playing
163,7.002022,0.040100,35,Drifting,Playing
164,7.043344,0.041322,35,Drifting,Playing
165,7.084396,0.041053,35,Drifting,Playing
166,7.124759,0.040363,35,Drifting,Playing
167,7.165409,0.040650,35,Drifting,Playing
168,7.206542,0.041133,35,Drifting,Playing
169,7.247487,0.040945,35,Drifting,Playing
170,7.288519,0.041033,35,Drifting,Playing
171,7.328674,0.040156,35,Drifting,Playing
172,7.371526,0.042851,35,Drifting,Playing
173,7.412049,0.040523,35,Drifting,Playing
174,7.456394,0.044345,35,Drifting,Playing
175,7.497204,0.040810,35,Drifting,Playing
176,7.537487,0.040283,35,Drifting,Playing
177,7.577192,0.039705,36,Drifting,Transition
178,7.620255,0.043063,36,Drifting,Transition
179,7.660781,0.040527,36,Drifting,Transition
180,7.703560,0.042780,36,Drifting,Transition
181,7.743839,0.040279,36,Drifting,Transition
182,7.788818,0.044979,36,Drifting,Transition
183,7.829988,0.041171,36,Drifting,Playing
184,7.872017,0.042029,36,Drifting,Playing
185,7.913291,0.041273,36,Drifting,Playing
186,7.955934,0.042644,36,Drifting,Playing
187,7.996175,0.040241,36,Drifting,Playing
188,8.035685,0.039510,36,Drifting,Playing
189,8.076911,0.041226,36,Drifting,Playing
190,8.119534,0.042623,36,Drifting,Playing
191,8.160742,0.041207,36,Drifting,Playing
192,8.204207,0.043466,36,Drifting,Playing
193,8.245430,0.041223,36,Drifting,Playing
194,8.288882,0.043452,36,Drifting,Playing
195,8.330293,0.041410,36,Drifting,Playing
196,8.372354,0.042061,36,Drifting,Playing
197,8.414032,0.041678,36,Drifting,Playing
198,8.454243,0.040210,36,Drifting,Playing
199,8.493825,0.039583,36,Drifting,Playing
200,8.536237,0.042412,36,Drifting,Playing
201,8.576013,0.039776,36,Drifting,Playing
202,8.618859,0.042847,37,Breather,Transition
203,8.661246,0.042387,37,Breather,Transition
204,8.705503,0.044257,37,Breather,Transition
205,8.745855,0.040352,37,Breather,Transition
206,8.790011,0.044156,37,Breather,Transition
207,8.830770,0.040759,37,Breather,Transition
208,8.871894,0.041123,37,Breather,Transition
209,8.912951,0.041057,37,Breather,Transition
